,content
339,"Lucy,Here is the rentroll from last friday.The closing was to be this Thursday but it has been delayed until FridayApril 20th.  If you can stay on until April 20th that would be helpful.  Ifyou have made other commitments I understand.Gary is planning to put an A/C in #35.You can give out my work numer (713) 853-7041Phillip"
340,Thanks for your help.
341,"I WILL TALK TO LUTZ ABOUT HIS SHARE OF THE LEGAL BILLS.1.   MAIL OUT FLYERS TO ALL APT. OWNERS IN SEGUIN  (FOLLOW UP WITH PHONECALLS TO GOOD POTENTIAL  BUYERS)2.   MAIL OUT FLYERS TO OWNERS IN SAN ANTONIO AND  AUSTIN(SIMILAR SIZEDPROPERTIES)3.   ENTER THE INFO. ON TO VARIOUS INTERNET SITES4.   ADVERTISE ON CIB NETWORK (SENT BY E-MAIL TO +\=  2000 BROKERS)5.   PLACE IN AUSTIN MLS6.   ADVERTISE IN SAN ANTONIO AND AUSTIN PAPERS ON  SUNDAYS7.   E-MAIL TO MY LIST OF +\- 400 BUYERS AND BROKERS8.   FOLLOW UP WITH PHONE CALLS TO MOST APPROPRIATE  BUYERS IN MY LIST> -----Original Message----->>> Jeff,>>      The file attached contains an operating statement for 2000 and a> proforma for 2001.  I will follow this week with a current rentroll.>>> Regarding the Leander land, I am working with Van to get a loan and an> appraisal.  I will send a check for $250.>> Wasn't I supposed to get a check from Matt Lutz for $333 for part> of Brenda> Stone's legal bills?  I don't think I received it.  Can you follow up.>> When you get a chance, please fill me in on the marketing strategy for the> Stagecoach.>> Phillip>"
342,"Jed,Thanks for the response.Phillip Allen"
343,"The following are the prices you requested.  Unfortunately we are unwillingto transact at these levels due to the current market volatility, but youOur present value mark to market calculations for these trades are asMay01-Oct01 30,000/day @ 0.5975 =  $44,165,200Apr02-Oct02 @  0.60 =  $5,920,980Apr02-Oct02 @  0.745 =  $5,637,469Apr02-Oct02 @  0.55 =  $3,006,092Jed Hershey****************************************************************************This e-mail contains privileged attorney-client communications and/orconfidential information, and is only for the use by the intended recipient.Receipt by an unintended recipient does not constitute a waiver of anyapplicable privilege.Reading, disclosure, discussion, dissemination, distribution or copying ofthis information by anyone other than the intended recipient or his or heremployees or agents is strictly prohibited.  If you have received thiscommunication in error, please immediately notify us and delete the originalmaterial from your computer.Sempra Energy Trading Corp. (SET) is not the same company as SDG&E orSoCalGas, the utilities owned by SET's parent company.  SET is not regulatedby the California Public Utilities Commission and you do not have to buySET's products and services to continue to receive quality regulated servicefrom the utilities.****************************************************************************"
344,"Reagan,I sent you an email last week stating that I would be in San Marcos onFriday, April 13th.  However, my closing has been postponed.  As I mentionedI am going to have Cary Kipp draw the plans for the residence and I will getback in touch with you once he is finished.Regarding the multifamily project, I am going to work with a project managerfrom San Antonio.  For my first development project, I feel more comfortablewith their experience obtaining FHA financing.  We are working with KippFlores to finalize the floor plans and begin construction drawings.  Your bidfor the construction is competive with other construction estimates.  I amstill attracted to your firm as the possible builder due to your strong localrelationships.  I will get back in touch with you once we have made the finaldetermination on unit mix and site plan.Phillip Allen"
345,"Jacques,Kipp Flores-Total Contract was $23,600 but $2,375 was paid and only $21,225is outstanding.Kohutek- $2,150Cuatro- $37,800George & Larry paid $3,500 for the appraisal and I agreed to reimburse thisamount.The total cash that Keith and I will pay the Sellers is $5,875 ($3,500appraisal and $2,375 engineering).    I couldn't find any reference to thiscash consideration to be paid by the buyers.Let me know if I need to do anything else before you can forward this to thesellers to be executed.Phillip"
346,"John,Regarding the employment agreement, Mike declined without a counter.  Keithsaid he would sign for $75K cash/$250 equity.  I still believe Frank shouldreceive the same signing incentives as Keith.Phillip"
347,"Thanks for the response.  I think you are right that engaging an architect isthe next logical step.  I had already contacted Cary Kipp and sent him thefloor plan.He got back to me yesterday with his first draft.  He took my plan andimproved it.  I am going to officially engage Cary to draw the plans.  Whilehe works on those I wanted to try and work out a detailed specificationlist.  Also, I would like to visit a couple of homes that you have built andspeak to 1 or 2 satisfied home owners.  I will be in San Marcos on FridayApril 13th.  Are there any homes near completion that I could walk throughthat day?  Also can you provide some references?Once I have the plans and specs, I will send them to you so you can adjustyour bid.Phillip"
348,"Do you have a distribution list to send this to all the traders.PhillipNeal/HOU/ECT@ECT, James W Lewis/HOU/EES@EESplease be our guests and invite anyone on your desks that would be interestedin meeting some of the new gas desk team.Thank you,Jess"
349,"Jacques,LandPreliminary Architecture Design-Kipp Flores ArchitectsPreliminary Engineering-Cuatro Consultants, Ltd.Soils Study-Kohutek Engineering & Testing, Inc.Appraisal-Atrium Real Estate ServicesNote to Phillip AllenOutstanding Invoices to Kipp Flores, Cuatro, and KohutekAdditional Consideration or ConcessionsForgive interest dueReimburse $3,500 for appraisal and $2,375 for partial payment to engineerLet me know if you need more detail.Phillip"
350,My location is eb3210C
351,"Parking & Transportation@ENRONAdams/HOU/ECT@ECT, John Allario/Enron@EnronXGate, Phillip KAllen/HOU/ECT@ECT, Irma Alvarez/Enron@EnronXGate, Airam Arteaga/HOU/ECT@ECT,Berney C Aucoin/HOU/ECT@ECT, Peggy Banczak/HOU/ECT@ECT, RobinBarbe/HOU/ECT@ECT, Edward D Baughman/Enron@EnronXGate, PamBecton/Enron@EnronXGate, Corry Bentley/HOU/ECT@ECT, PatriciaBloom/Enron@EnronXGate, Sandra F Brawner/HOU/ECT@ECT, JerryBritain/Enron@EnronXGate, Lisa Bills/Enron@EnronXGate, MichelleBlaine/ENRON@enronXgate, Eric Boyt/Corp/Enron@Enron, CherylArguijo/Enron@EnronXGate, Jeff Ader/HOU/EES@EES, Mark Bernstein/HOU/EES@EES,Kimberly Brown/HOU/ECT@ECT, Gary Bryan/HOU/ECT@ECT, Rebecca WCantrell/HOU/ECT@ECT, Bob Carter/HOU/ECT@ECT, Carol Carter/Enron@EnronXGate,Carmen Chavira/Enron@EnronXGate, Christopher K Clark/Enron@EnronXGate, MorrisRichard Clark/Enron@EnronXGate, Terri Clynes/HOU/ECT@ECT, KarlaCompean/Enron@EnronXGate, Ruth Concannon/HOU/ECT@ECT, PatrickConner/HOU/ECT@ECT, Sheri L Cromwell/Enron@EnronXGate, EdithCross/HOU/ECT@ECT, Martin Cuilla/HOU/ECT@ECT, Mike Curry/Enron@EnronXGate,Michael Danielson/SF/ECT@ECT, Peter del Vecchio/HOU/ECT@ECT, Barbara GDillard/Corp/Enron@Enron@ECT, Rufino Doroteo/Enron@EnronXGate, ChristineDrummond/HOU/ECT@ECT, Tom Dutta/HOU/ECT@ECT, Laynie East/Enron@EnronXGate,John Enerson/HOU/ECT@ECT, David Fairley/Enron@EnronXGate, NonyFlores/HOU/ECT@ECT, Craig A Fox/Enron@EnronXGate, Julie SGartner/Enron@EnronXGate, Maria Garza/HOU/ECT@ECT, Chris Germany/HOU/ECT@ECT,Monica Butler/Enron@EnronXGate, Chris Clark/NA/Enron@Enron, ChristopherCoffman/Corp/Enron@Enron, Ron Coker/Corp/Enron@Enron, JohnColeman/EWC/Enron@Enron, Nicki Daw/Enron@EnronXGate, RanabirDutt/Enron@EnronXGate, Kurt Eggebrecht/ENRON@enronxgate, MarshaFrancis/Enron@EnronXGate, Robert H George/NA/Enron@Enron, NancyCorbet/ENRON_DEVELOPMENT@ENRON_DEVELOPMENt, MargaretDoucette/ENRON_DEVELOPMENT@ENRON_DEVELOPMENT, Maria EGarcia/ENRON_DEVELOPMENT@ENRON_DEVELOPMENt, HumbertoCubillos-Uejbe/HOU/EES@EES, Barton Clark/HOU/ECT@ECT, Ned ECrady/ENRON_DEVELOPMENT@ENRON_DEVELOPMENT, Stinson Gibner/HOU/ECT@ECT, StacyGibson/Enron@EnronXGate, George N Gilbert/HOU/ECT@ECT, MathewGimble/HOU/ECT@ECT, Barbara N Gray/HOU/ECT@ECT, Alisa Green/Enron@EnronXGate,Robert Greer/HOU/ECT@ECT, Wayne Gresham/HOU/ECT@ECT, MikeGrigsby/HOU/ECT@ECT, Linda R Guinn/HOU/ECT@ECT, Cathy L Harris/HOU/ECT@ECT,Tosha Henderson/HOU/ECT@ECT, Scott Hendrickson/HOU/ECT@ECT, NickHiemstra/HOU/ECT@ECT, Kimberly Hillis/Enron@EnronXGate, DorieHitchcock/HOU/ECT@ECT, Jeffrey T Hodge/HOU/ECT@ECT, GeorgeanneHodges/Enron@EnronXGate, Jeff Hoover/HOU/ECT@ECT, Brad Horn/HOU/ECT@ECT, JohnHouse/HOU/ECT@ECT, Joseph Hrgovcic/Enron@EnronXGate, Dan J Hyvl/HOU/ECT@ECT,Steve Irvin/HOU/ECT@ECT, Rhett Jackson/Enron@EnronXGate, PatrickJohnson/HOU/ECT@ECT, Amy Jon/Enron@EnronXGate, Tana Jones/HOU/ECT@ECT, PeterF Keavey/HOU/ECT@ECT, Jeffrey Keenan/HOU/ECT@ECT, BrianKerrigan/Enron@EnronXGate, Kyle Kettler/HOU/ECT@ECT, FaithKillen/Enron@EnronXGate, Joe Gordon/Enron@EnronXGate, BruceHarris/NA/Enron@Enron, Chris Herron/Enron@EnronXGate, MelissaJones/NA/Enron@ENRON, Lynna Kacal/Enron@EnronXGate, AllanKeel/Enron@EnronXGate, Mary Kimball/NA/Enron@Enron, BruceGolden/ENRON_DEVELOPMENT@ENRON_DEVELOPMENT, KimHickok/ENRON_DEVELOPMENT@ENRON_DEVELOPMENT, Elizabeth Howley/HOU/EES@EES,John King/Enron Communications@Enron Communications, JeffKinneman/Enron@EnronXGate, Troy Klussmann/Enron@EnronXGate, MarkKnippa/HOU/ECT@ECT, Deb Korkmas/HOU/ECT@ECT, Heather Kroll/Enron@EnronXGate,Kevin Kuykendall/HOU/ECT@ECT, Matthew Lenhart/HOU/ECT@ECT, Andrew HLewis/HOU/ECT@ECT, Lindsay Long/Enron@EnronXGate, Blanca ALopez/Enron@EnronXGate, Gretchen Lotz/HOU/ECT@ECT, Dan Lyons/HOU/ECT@ECT,Molly Magee/Enron@EnronXGate, Kelly Mahmoud/HOU/ECT@ECT, DavidMarks/HOU/ECT@ECT, Greg Martin/HOU/ECT@ECT, Jennifer Martinez/HOU/ECT@ECT,Deirdre McCaffrey/HOU/ECT@ECT, George McCormick/Enron@EnronXGate, TravisMcCullough/HOU/ECT@ECT, Brad McKay/HOU/ECT@ECT, BradMcSherry/Enron@EnronXGate, Lisa Mellencamp/HOU/ECT@ECT, KimMelodick/Enron@EnronXGate, Chris Meyer/HOU/ECT@ECT, Mike JMiller/HOU/ECT@ECT, Don Miller/HOU/ECT@ECT, Patrice L Mims/HOU/ECT@ECT,Yvette Miroballi/Enron@EnronXGate, Fred Mitro/HOU/ECT@ECT, EricMoon/HOU/ECT@ECT, Janice R Moore/HOU/ECT@ECT, Greg Krause/Corp/Enron@Enron,Steven Krimsky/Corp/Enron@Enron, Shahnaz Lakho/NA/Enron@Enron, ChrisLenartowicz/Corp/Enron@ENRON, Kay Mann/Corp/Enron@Enron, JudyMartinez/Enron@EnronXGate, Jesus Melendrez/Enron@EnronXGate, Michael LMiller/NA/Enron@Enron, Stephanie Miller/Corp/Enron@ENRON, VeronicaMontiel/ENRON_DEVELOPMENT@ENRON_DEVELOPMENT, Kenneth Krasny/Enron@EnronXGate,Janet H Moore/HOU/ECT@ECT, Brad Morse/HOU/ECT@ECT, Scott Neal/HOU/ECT@ECT,Gerald Nemec/HOU/ECT@ECT, Jesse Neyman/HOU/ECT@ECT, Mary Ogden/HOU/ECT@ECT,Sandy Olitsky/HOU/ECT@ECT, Roger Ondreko/Enron@EnronXGate, OzziePagan/Enron@EnronXGate, Rhonna Palmer/Enron@EnronXGate, Anita KPatton/HOU/ECT@ECT, Laura R Pena/HOU/ECT@ECT, Susan W Pereira/HOU/ECT@ECT,Debra Perlingiere/HOU/ECT@ECT, John Peyton/HOU/ECT@ECT, PaulPizzolato/Enron@EnronXGate, Laura Podurgiel/HOU/ECT@ECT, DavidPortz/HOU/ECT@ECT, Joan Quick/Enron@EnronXGate, Dutch Quigley/HOU/ECT@ECT,Pat Radford/HOU/ECT@ECT, Ina Rangel/HOU/ECT@ECT, Robert W Rimbau/HOU/ECT@ECT,Andrea Ring/HOU/ECT@ECT, Amy Rios/Enron@EnronXGate, BenjaminRogers/HOU/ECT@ECT, Kevin Ruscitti/HOU/ECT@ECT, Elizabeth Sager/HOU/ECT@ECT,Richard B Sanders/HOU/ECT@ECT, Janelle Scheuer/Enron@EnronXGate, LanceSchuler-Legal/HOU/ECT@ECT, Sara Shackleton/HOU/ECT@ECT, JeanMrha/NA/Enron@Enron, Caroline Nugent/Enron@EnronXGate, RichardOrellana/ENRON@enronXgate, Michelle Parks/Enron@EnronXGate, StevePruett/Enron@EnronXGate, Mitch Robinson/Corp/Enron@Enron, SusanMusch/Enron@EnronXGate, Larry Pardue/ENRON_DEVELOPMENT@ENRON_DEVELOPMENT,Daniel R Rogers/ENRON_DEVELOPMENT@ENRON_DEVELOPMENT, FrankSayre/ENRON_DEVELOPMENT@ENRON_DEVELOPMENT, Kevin P Radous/Corp/Enron@Enron,Tammy R Shepperd/Enron@EnronXGate, Cris Sherman/Enron@EnronXGate, Hunter SShively/HOU/ECT@ECT, Lisa Shoemake/HOU/ECT@ECT, James Simpson/HOU/ECT@ECT,Jeanie Slone/Enron@EnronXGate, Gregory P Smith/Enron@EnronXGate, SusanSmith/Enron@EnronXGate, Will F Smith/Enron@EnronXGate, MaureenSmith/HOU/ECT@ECT, Shari Stack/HOU/ECT@ECT, Geoff Storey/HOU/ECT@ECT,Fletcher J Sturm/HOU/ECT@ECT, John Swafford/Enron@EnronXGate, RonTapscott/HOU/ECT@ECT, Mark Taylor/HOU/ECT@ECT, Stephen Thome/HOU/ECT@ECT,Larry Valderrama/Enron@EnronXGate, Steve Van Hooser/HOU/ECT@ECT, HopeVargas/Enron@EnronXGate, Brian Vass/HOU/ECT@ECT, Victoria Versen/HOU/ECT@ECT,Charles Vetters/HOU/ECT@ECT, Janet H Wallis/HOU/ECT@ECT, SamuelWehn/HOU/ECT@ECT, Jason R Wiesepape/HOU/ECT@ECT, Allen Wilhite/HOU/ECT@ECT,Bill Williams/PDX/ECT@ECT, Stephen Wolfe/Enron@EnronXGate, StuartZisman/HOU/ECT@ECT, George Zivic/HOU/ECT@ECT, Mary Sontag/Enron@EnronXGate,Eric Thode/Corp/Enron@ENRON, Carl Tricoli/Corp/Enron@Enron, ShijiVarkey/Enron@EnronXGate, Frank W Vickers/NA/Enron@Enron, GregWhiting/Enron@EnronXGate, Becky Young/NA/Enron@Enron, EmilyAdamo/Enron@EnronXGate, Jacqueline P Adams/HOU/ECT@ECT, JanieAguayo/HOU/ECT@ECT, Peggy Alix/ENRON@enronXgate, Thresa A Allen/HOU/ECT@ECT,Sherry Anastas/HOU/ECT@ECT, Kristin Armstrong/Enron@EnronXGate, Veronica IArriaga/HOU/ECT@ECT, Susie Ayala/HOU/ECT@ECT, Natalie Baker/HOU/ECT@ECT,Michael Barber/Enron@EnronXGate, Gloria G Barkowsky/HOU/ECT@ECT, WilmaBleshman/Enron@EnronXGate, Dan Bruce/Enron@EnronXGate, RichardBurchfield/Enron@EnronXGate, Anthony Campos/HOU/ECT@ECT, Sylvia ACampos/HOU/ECT@ECT, Betty Chan/Enron@EnronXGate, JasonChumley/Enron@EnronXGate, Marilyn Colbert/HOU/ECT@ECT, AudreyCook/HOU/ECT@ECT, Diane H Cook/HOU/ECT@ECT, Magdelena Cruz/Enron@EnronXGate,Bridgette Anderson/Corp/Enron@ENRON, Walt Appel/ENRON@enronXgate, DavidBerberian/Enron@EnronXGate, Sherry Butler/Enron@EnronXGate, RosieCastillo/Enron@EnronXGate, Christopher B Clark/Corp/Enron@Enron, PatrickDavis/Enron@EnronXGate, Larry Cash/Enron Communications@Enron Communications,Mathis Conner/Enron@EnronXGate, Lawrence R Daze/Enron@EnronXGate, Rhonda LDenton/HOU/ECT@ECT, Bradley Diebner/Enron@EnronXGate, Anna MDocwra/HOU/ECT@ECT, Kenneth D'Silva/HOU/ECT@ECT, Karen Easley/HOU/ECT@ECT,Kenneth W Ellerman/Enron@EnronXGate, Allen Elliott/Enron@EnronXGate, ReneEnriquez/Enron@EnronXGate, Soo-Lian Eng Ervin/Enron@EnronXGate, IreneFlynn/HOU/ECT@ECT, Christopher Funk/Enron@EnronXGate, JimFussell/Enron@EnronXGate, Clarissa Garcia/HOU/ECT@ECT, LisaGillette/HOU/ECT@ECT, Carolyn Gilley/HOU/ECT@ECT, Gerri Gosnell/HOU/ECT@ECT,Jeffrey C Gossett/HOU/ECT@ECT, Michael Guadarrama/Enron@EnronXGate, VictorGuggenheim/HOU/ECT@ECT, Cynthia Hakemack/HOU/ECT@ECT, Kenneth MHarmon/Enron@EnronXGate, Susan Harrison/Enron@EnronXGate, Elizabeth LHernandez/HOU/ECT@ECT, Meredith Homco/HOU/ECT@ECT, Alton Honore/HOU/ECT@ECT,Roberto Deleon/Enron@EnronXGate, Jay Desai/HR/Corp/Enron@ENRON, HalElrod/Enron@EnronXGate, Paul Finken/Enron@EnronXGate, BrendaFlores-Cuellar/Enron@EnronXGate, Irma Fuentes/Enron@EnronXGate, JimGearhart/Enron@EnronXGate, Camille Gerard/Corp/Enron@ENRON, SharonGonzales/NA/Enron@ENRON, Carolyn Graham/Enron@EnronXGate, Thomas DGros/Enron@EnronXGate, Sam Guerrero/Enron@EnronXGate, AndrewHawthorn/Enron@EnronXGate, Katherine Herrera/Corp/Enron@ENRON, ChristopherDucker/Enron@EnronXGate, Jarod Jenson/Enron@EnronXGate, WenyaoJia/Enron@EnronXGate, Kam Keiser/HOU/ECT@ECT, Katherine L Kelly/HOU/ECT@ECT,William Kelly/HOU/ECT@ECT, Dawn C Kenne/HOU/ECT@ECT, Lisa Kinsey/HOU/ECT@ECT,Victor Lamadrid/HOU/ECT@ECT, Karen Lambert/HOU/ECT@ECT, JennyLatham/HOU/ECT@ECT, Jonathan Le/Enron@EnronXGate, Lisa Lees/HOU/ECT@ECT, KoriLoibl/HOU/ECT@ECT, Duong Luu/Enron@EnronXGate, Shari Mao/HOU/ECT@ECT, DavidMaxwell/Enron@EnronXGate, Mark McClure/HOU/ECT@ECT, DougMcDowell/Enron@EnronXGate, Gregory McIntyre/Enron@EnronXGate, DarrenMcNair/Enron@EnronXGate, Keith Meurer/Enron@EnronXGate, JackieMorgan/HOU/ECT@ECT, Melissa Ann Murphy/HOU/ECT@ECT, Gary Nelson/HOU/ECT@ECT,Michael Neves/Enron@EnronXGate, Joanie H Ngo/HOU/ECT@ECT, Thu TNguyen/HOU/ECT@ECT, Angela Hylton/Enron@EnronXGate, JeffJohnson/Enron@EnronXGate, Laura Johnson/Enron@EnronXGate, Robert WJones/Enron@EnronXGate, Kara Knop/Enron@EnronXGate, JohnLetvin/Enron@EnronXGate, Kathy Link/Enron@EnronXGate, TeresaMcOmber/NA/Enron@ENRON, James Moore/Enron@EnronXGate, JenniferNguyen/Corp/Enron@ENRON, ThuHa Nguyen/Enron@EnronXGate, GeorgeNguyen/Enron@EnronXGate, Reina Mendez/Enron@EnronXGate, Frank Karbarz/EnronCommunications@Enron Communications, William May/Enron Communications@EnronCommunications, John Norden/Enron@EnronXGate, Kimberly S Olinger/HOU/ECT@ECT,Richard Pinion/HOU/ECT@ECT, Bryan Powell/Enron@EnronXGate, Phillip C.Randle/Enron@EnronXGate, Leslie Reeves/HOU/ECT@ECT, StaceyRichardson/HOU/ECT@ECT, Drew Ries/Enron@EnronXGate, Jose Ruiz/MAD/ECT@ECT,Tammie Schoppe/HOU/ECT@ECT, Mark L Schrab/HOU/ECT@ECT, SherlynSchumack/HOU/ECT@ECT, Susan M Scott/HOU/ECT@ECT, Stephanie Sever/HOU/ECT@ECT,Russ Severson/HOU/ECT@ECT, John Shupak/Enron@EnronXGate, BruceSmith/Enron@EnronXGate, George F Smith/HOU/ECT@ECT, Will FSmith/Enron@EnronXGate, Mary Solmonson/Enron@EnronXGate, SaiSreerama/HOU/ECT@ECT, Mechelle Stevens/HOU/ECT@ECT, PattiSullivan/HOU/ECT@ECT, Robert Superty/HOU/ECT@ECT, MichaelSwaim/Enron@EnronXGate, Janette Oquendo/Enron@EnronXGate, RyanOrsak/ENRON@enronXgate, Mark Palmer/Corp/Enron@ENRON, Michael KPatrick/Enron@EnronXGate, John Pavetto/Enron@EnronXGate, CatherinePernot/Enron@EnronXGate, John D Reese/Enron@EnronXGate, SandyRivas/Enron@EnronXGate, Sean Sargent/Enron@EnronXGate, VanessaSchulte/Enron@EnronXGate, Rex Shelby/Enron@EnronXGate, JeffreySnyder/Enron@EnronXGate, Joe Steele/Enron@EnronXGate, OmarTaha/Enron@EnronXGate, Diana Peters/Enron@EnronXGate@ENRON_DEVELOPMENt, HarrySwinton/Enron@EnronXGate, James Post/Enron Communications@EnronCommunications, Mable Tang/Enron@EnronXGate, Sheri Thomas/HOU/ECT@ECT,Alfonso Trabulsi/HOU/ECT@ECT, Susan D Trevino/HOU/ECT@ECT, ConnieTruong/Enron@EnronXGate, Khadiza Uddin/Enron@EnronXGate, AdarshVakharia/HOU/ECT@ECT, Rennu Varghese/Enron@EnronXGate, KimberlyVaughn/HOU/ECT@ECT, Judy Walters/HOU/ECT@ECT, MaryWeatherstone/Enron@EnronXGate, Stacey W White/HOU/ECT@ECT, JasonWilliams/HOU/ECT@ECT, Scott Williamson/Enron@EnronXGate, O'Neal DWinfree/HOU/ECT@ECT, Jeremy Wong/Enron@EnronXGate, Rita Wynne/HOU/ECT@ECT,Steve Tenney/Enron@EnronXGate, Todd Thelen/Enron@EnronXGate, N JessieWang/Enron@EnronXGate, Gwendolyn Williams/ENRON@enronXgate, DejounWindless/Corp/Enron@ENRON, Jeanne Wukasch/Corp/Enron@ENRON, LisaYarbrough/Enron@EnronXGate, Will Zamer/Enron@EnronXGate, NedHiggins/HOU/ECT@ECT, Saji John/Enron Communications@Enron Communications,Francisco Pinto Leite/ENRON_DEVELOPMENT@ENRON_DEVELOPMENT, BarryTycholiz/NA/Enron@ENRON, Bob M Hall/NA/Enron@Enron, PamelaBrown/NA/Enron@Enron, Gerri Gosnell/HOU/ECT@ECTThe Enron Center garage will be opening very soon.Employees who work for business units that are scheduled to move to the newbuilding and currently park in the Allen Center or Met garages are beingoffered a parking space in the new Enron Center garage.This is the only offer you will receive during the initial migration to thenew garage. Spaces will be filled on a first come first served basis. Thecost for the new garage will be the same as Allen Center garage which iscurrently $165.00 per month, less the company subsidy, leaving a monthlyemployee cost of $94.00.If you choose not to accept this offer at this time, you may add your name tothe Enron Center garage waiting list at a later day and offers will be madeas spaces become available.The Saturn Ring  that connects the garage and both buildings will not beopened until summer 2001. All initial parkers will have to use the streetlevel entrance to Enron Center North until Saturn Ring access is available.Garage stairways next to the elevator lobbies at each floor may be used as anexit in the event of elevator trouble.If you are interested in accepting this offer, please reply via email toParking and Transportation as soon as you reach a decision. Following youremail, arrangements will be made for you to turn in your old parking card andreceive a parking transponder along with a new information packet for the newgarage.The Parking and Transportation desk may be reached via email at Parking andTransportation/Corp/Enron or 713-853-7060  with any questions.(You must enter & exit on Clay St. the first two weeks, also pedestrians,will have to use the garage stairwell located on the corner of Bell & Smith.)"
352,"Greg,The kids are into typical toys and games.  Justin likes powerranger stuff.  Kelsey really likes art.  Books would also be good.We are spending Christmas in Houston with Heather's sister.  Weare planning to come to San Marcos for New Years.How long will you stay?  what are your plans?  Email me withlatest happenings with you in the big city.keith"
353,JacquesI am out of the office for the rest of the week.  Have you ever seen anyonemiss as much work as I have in the last 6 weeks?  I assure you this isunusual for me.Hopefully we can sign some documents on Monday.  Call me on my cell phone ifyou need me.Phillip
354,"Reagan,I am still reviewing the numbers but here are some initial thoughts.Are you proposing a cost plus contract with no cap?What role would you play in obtaining financing?  Any experience with FHA221(d) loans?Although your fees are lower than George and Larry I am still getting market5% - onsite expenses, supervision, clean up, equipment2%- overhead4%- profitI just wanted to give you this initial feedback.  I have also attached anextremely primitive spreadsheet to outline the project.  As you can see evenreducing the builders fees to the numbers above the project would onlygenerate $219,194 of cash flow for a return of 21%.  I am not thrilled aboutsuch a low return.  I think I need to find a way to get the total cost downto $10,500,000 which would boost the return to 31%.  Any ideas?I realize that you are offering significant development experience plus youlocal connections.  I am not discounting those services.   I will be out ofthe office for the rest of the week, but I will call you early next week.Phillip"
355,"Cary,Here is the picture of the house I have in mind.  I was going for a simplefarmhouse style to  place on 5 acres near Wimberley.There will be a double porch across the back just like the frontNo dormers (Metal roof)1/2 bath under stairsOverall dimensions are 55 by 40What I am looking for is a little design help in the kitchen.  Morecabinets, maybe a different shaped island, and a way to enlarge the pantry.Reagansuggested that I find a way to make the exterior more attractive.  I wantto keep a simple roof line to avoid leaks, but I was thinking aboutbringing the leftside forward in the front of the house and place 1 gable in the front.That might look good if the exterior was stone and stucco.  Also the frontporch wouldbe smaller.I have 3 bids from builders all around $325,000.  I am ready to go aheadand have the plans done so I can spec out all the finishings and choose abuilder.I just wanted to give you the opportunity to do the work.  As I mentionedmy alternative is $0.60/ft.  I thought that since I had a such a detailedsketch, you might consider the job for less than the $6,000 that Reaganallowed.Phillip Allen713-853-7041Hunter S Shively"
356,"Cary,Here is the picture of the house I have in mind.  I was going for a simplefarmhouse style to  place on 5 acres near Wimberley.There will be a double porch across the back just like the frontNo dormers (Metal roof)1/2 bath under stairsOverall dimensions are 55 by 40What I am looking for is a little design help in the kitchen.  Morecabinets, maybe a different shaped island, and a way to enlarge the pantry.Reagansuggested that I find a way to make the exterior more attractive.  I wantto keep a simple roof line to avoid leaks, but I was thinking aboutbringing the leftside forward in the front of the house and place 1 gable in the front.That might look good if the exterior was stone and stucco.  Also the frontporch wouldbe smaller.I have 3 bids from builders all around $325,000.  I am ready to go aheadand have the plans done so I can spec out all the finishings and choose abuilder.I just wanted to give you the opportunity to do the work.  As I mentionedmy alternative is $0.60/ft.  I thought that since I had a such a detailedsketch, you might consider the job for less than the $6,000 that Reaganallowed.Phillip Allen713-853-7041Hunter S Shively- F828FA00.PDF"
357,"------Transcript of session follows -------scsatkfa@caprock.netThe user's email name is not found.postmaster.enron.com (8.8.8/8.8.8/postmaster-1.00) with ESMTP id PAB09150 formailman.enron.com (8.10.1/8.10.1/corp-1.05) with ESMTP id f2TFg2L03725 fornahou-msmsw03px.corp.enron.com (Content Technologies SMTPRS 4.1.5) with ESMTPid <Tac1c0a2752962e2481@nahou-msmsw03px.corp.enron.com> forBoundary=""0__=86256A1E00535FA28f9e8a93df938690918c86256A1E00535FA2""Cary,Here is the picture of the house I have in mind.  I was going for a simplefarmhouse style to  place on 5 acres near Wimberley.There will be a double porch across the back just like the frontNo dormers (Metal roof)1/2 bath under stairsOverall dimensions are 55 by 40What I am looking for is a little design help in the kitchen.  Morecabinets, maybe a different shaped island, and a way to enlarge the pantry.Reagansuggested that I find a way to make the exterior more attractive.  I wantto keep a simple roof line to avoid leaks, but I was thinking aboutbringing the leftside forward in the front of the house and place 1 gable in the front.That might look good if the exterior was stone and stucco.  Also the frontporch wouldbe smaller.I have 3 bids from builders all around $325,000.  I am ready to go aheadand have the plans done so I can spec out all the finishings and choose abuilder.I just wanted to give you the opportunity to do the work.  As I mentionedmy alternative is $0.60/ft.  I thought that since I had a such a detailedsketch, you might consider the job for less than the $6,000 that Reaganallowed.Phillip Allen713-853-7041Hunter S Shively- F828FA00.PDF"
